XRay (ID 01) / K¹t dla kryszta³u ?_c	XRay (ID 01) / Impuls Imp
?_c/°	Imp/# / s

50,0	23
50,1	20
50,2	20
50,3	17
50,4	19
50,5	18
50,6	20
50,7	15
50,8	16
50,9	17
51,0	20
51,1	19
51,2	22
51,3	19
51,4	19
51,5	13
51,6	22
51,7	17
51,8	12
51,9	16
52,0	21
52,1	19
52,2	20
52,3	21
52,4	18
52,5	21
52,6	22
52,7	23
52,8	24
52,9	18
53,0	18
53,1	17
53,2	21
53,3	19
53,4	14
53,5	18
53,6	18
53,7	17
53,8	18
53,9	17
54,0	20
54,1	18
54,2	20
54,3	17
54,4	20
54,5	20
54,6	18
54,7	24
54,8	32
54,9	36
55,0	37
55,1	24
55,2	17
55,3	18
55,4	19
55,5	20
55,6	19
55,7	17
55,8	17
55,9	18
56,0	21
56,1	22
56,2	21
56,3	21
56,4	27
56,5	29
56,6	21
56,7	19
56,8	15
56,9	16
57,0	18
57,1	14
57,2	17
57,3	20
57,4	18
57,5	19
57,6	16
57,7	18
57,8	19
57,9	14
58,0	20
58,1	18
58,2	18
58,3	16
58,4	18
58,5	18
58,6	18
58,7	17
58,8	15
58,9	17
59,0	15
59,1	17
59,2	18
59,3	19
59,4	20
59,5	15
59,6	16
59,7	16
59,8	14
59,9	17
60,0	15
60,1	14
60,2	19
60,3	17
60,4	16
60,5	20
60,6	15
60,7	19
60,8	16
60,9	19
61,0	23
61,1	20
61,2	18
61,3	17
61,4	19
61,5	16
61,6	17
61,7	17
61,8	17
61,9	16
62,0	15
62,1	19
62,2	18
62,3	13
62,4	15
62,5	17
62,6	19
62,7	15
62,8	20
62,9	16
63,0	21
63,1	20
63,2	17
63,3	17
63,4	17
63,5	20
63,6	19
63,7	11
63,8	19
63,9	18
64,0	15
64,1	18
64,2	22
64,3	18
64,4	23
64,5	20
64,6	20
64,7	18
64,8	19
64,9	21
65,0	21
65,1	20
65,2	16
65,3	16
65,4	16
65,5	17
65,6	23
65,7	20
65,8	20
65,9	18
66,0	15
66,1	22
66,2	19
66,3	17
66,4	20
66,5	14
66,6	18
66,7	20
66,8	23
66,9	15
67,0	18
67,1	22
67,2	26
67,3	26
67,4	26
67,5	25
67,6	24
67,7	29
67,8	43
67,9	86
68,0	115
68,1	80
68,2	53
68,3	31
68,4	33
68,5	26
68,6	22
68,7	22
68,8	23
68,9	19
69,0	22
69,1	19
69,2	22
69,3	21
69,4	24
69,5	24
69,6	26
69,7	19
69,8	25
69,9	28
70,0	35
70,1	48
70,2	47
70,3	41
70,4	26
70,5	28
70,6	24
70,7	20
70,8	21
70,9	22
71,0	23
71,1	26
71,2	21
71,3	20
71,4	21
71,5	21
71,6	22
71,7	30
71,8	23
71,9	25
72,0	30
72,1	31
72,2	29
72,3	33
72,4	47
72,5	77
72,6	178
72,7	297
72,8	222
72,9	99
73,0	58
73,1	38
73,2	32
73,3	32
73,4	29
73,5	28
73,6	25
73,7	27
73,8	26
73,9	32
74,0	33
74,1	30
74,2	23
74,3	30
74,4	26
74,5	27
74,6	28
74,7	23
74,8	24
74,9	24
75,0	24
